Date,Stock_Market_Indexes
1/18/2018,7296.05
1/19/2018,7336.38
1/22/2018,7408.03
1/23/2018,7460.29
1/24/2018,7415.06
1/25/2018,7411.16
1/26/2018,7505.77
1/29/2018,7466.51
1/30/2018,7402.48
1/31/2018,7411.48
2/1/2018,7385.86
2/2/2018,7240.95
2/5/2018,6967.53
2/6/2018,7115.88
2/7/2018,7051.98
2/8/2018,6777.16
2/9/2018,6874.49
2/12/2018,6981.96
2/13/2018,7013.51
2/14/2018,7143.62
2/15/2018,7256.43
2/16/2018,7239.47
2/19/2018,.
2/20/2018,7234.31
2/21/2018,7218.23
2/22/2018,7210.09
2/23/2018,7337.39
2/26/2018,7421.46
2/27/2018,7330.35
2/28/2018,7273.01
3/1/2018,7180.56
3/2/2018,7257.87
3/5/2018,7330.7
3/6/2018,7372.01
3/7/2018,7396.65
3/8/2018,7427.95
3/9/2018,7560.81
3/12/2018,7588.32
3/13/2018,7511.01
3/14/2018,7496.81
3/15/2018,7481.74
3/16/2018,7481.99
3/19/2018,7344.24
3/20/2018,7364.3
3/21/2018,7345.29
3/22/2018,7166.68
3/23/2018,6992.67
3/26/2018,7220.54
3/27/2018,7008.81
3/28/2018,6949.23
3/29/2018,7063.44
3/30/2018,.
4/2/2018,6870.12
4/3/2018,6941.28
4/4/2018,7042.105
4/5/2018,7076.551
4/6/2018,6915.109
4/9/2018,6950.344
4/10/2018,7094.301
4/11/2018,7069.027
4/12/2018,7140.246
4/13/2018,7106.648
4/16/2018,7156.285
4/17/2018,7281.098
4/18/2018,7295.234
4/19/2018,7238.055
4/20/2018,7146.125
4/23/2018,7128.602
4/24/2018,7007.352
4/25/2018,7003.738
4/26/2018,7118.676
4/27/2018,7119.801
4/30/2018,7066.266
5/1/2018,7130.703
5/2/2018,7100.898
5/3/2018,7088.152
5/4/2018,7209.617
5/7/2018,7265.211
5/8/2018,7266.902
5/9/2018,7339.906
5/10/2018,7404.977
5/11/2018,7402.883
5/14/2018,7411.316
5/15/2018,7351.629
5/16/2018,7398.297
5/17/2018,7382.473
5/18/2018,7354.34
5/21/2018,7394.035
5/22/2018,7378.457
5/23/2018,7425.957
5/24/2018,7424.43
5/25/2018,7433.855
5/28/2018,.
5/29/2018,7396.594
5/30/2018,7462.453
5/31/2018,7442.117
6/1/2018,7554.332
6/4/2018,7606.461
6/5/2018,7637.863
6/6/2018,7689.242
6/7/2018,7635.07
6/8/2018,7645.512
6/11/2018,7659.926
6/12/2018,7703.793
6/13/2018,7695.699
6/14/2018,7761.043
6/15/2018,7746.379
6/18/2018,7747.023
6/19/2018,7725.586
6/20/2018,7781.516
6/21/2018,7712.953
6/22/2018,7692.816
6/25/2018,7532.008
6/26/2018,7561.625
6/27/2018,7445.086
6/28/2018,7503.684
6/29/2018,7510.305
7/2/2018,7567.688
7/3/2018,7502.672
7/4/2018,.
7/5/2018,7586.426
7/6/2018,7688.387
7/9/2018,7756.203
7/10/2018,7759.199
7/11/2018,7716.613
7/12/2018,7823.914
7/13/2018,7825.977
7/16/2018,7805.719
7/17/2018,7855.117
7/18/2018,7854.445
7/19/2018,7825.297
7/20/2018,7820.199
7/23/2018,7841.871
7/24/2018,7840.766
7/25/2018,7932.238
7/26/2018,7852.184
7/27/2018,7737.418
7/30/2018,7630.004
7/31/2018,7671.789
8/1/2018,7707.285
8/2/2018,7802.684
8/3/2018,7812.016
8/6/2018,7859.68
8/7/2018,7883.664
8/8/2018,7888.324
8/9/2018,7891.781
8/10/2018,7839.109
8/13/2018,7819.707
8/14/2018,7870.895
8/15/2018,7774.117
8/16/2018,7806.523
8/17/2018,7816.328
8/20/2018,7821.008
8/21/2018,7859.172
8/22/2018,7889.098
8/23/2018,7878.457
8/24/2018,7945.977
8/27/2018,8017.895
8/28/2018,8030.039
8/29/2018,8109.688
8/30/2018,8088.363
8/31/2018,8109.535
9/3/2018,.
9/4/2018,8091.246
9/5/2018,7995.172
9/6/2018,7922.727
9/7/2018,7902.543
9/10/2018,7924.16
9/11/2018,7972.473
9/12/2018,7954.23
9/13/2018,8013.711
9/14/2018,8010.043
9/17/2018,7895.793
9/18/2018,7956.105
9/19/2018,7950.039
9/20/2018,8028.23
9/21/2018,7986.957
9/24/2018,7993.25
9/25/2018,8007.473
9/26/2018,7990.367
9/27/2018,8041.969
9/28/2018,8046.352
10/1/2018,8037.301
10/2/2018,7999.547
10/3/2018,8025.086
10/4/2018,7879.512
10/5/2018,7788.445
10/8/2018,7735.949
10/9/2018,7738.016
10/10/2018,7422.051
10/11/2018,7329.059
10/12/2018,7496.895
10/15/2018,7430.742
10/16/2018,7645.488
10/17/2018,7642.703
10/18/2018,7485.141
10/19/2018,7449.027
10/22/2018,7468.629
10/23/2018,7437.539
10/24/2018,7108.402
10/25/2018,7318.336
10/26/2018,7167.211
10/29/2018,7050.293
10/30/2018,7161.648
10/31/2018,7305.898
11/1/2018,7434.059
11/2/2018,7356.996
11/5/2018,7328.852
11/6/2018,7375.965
11/7/2018,7570.754
11/8/2018,7530.887
11/9/2018,7406.902
11/12/2018,7200.867
11/13/2018,7200.875
11/14/2018,7136.391
11/15/2018,7259.031
11/16/2018,7247.871
11/19/2018,7028.477
11/20/2018,6908.824
11/21/2018,6972.25
11/22/2018,.
11/23/2018,6938.984
11/26/2018,7081.852
11/27/2018,7082.699
11/28/2018,7291.594
11/29/2018,7273.082
11/30/2018,7330.535
12/3/2018,7441.512
12/4/2018,7158.426
12/5/2018,.
12/6/2018,7188.258
12/7/2018,6969.254
12/10/2018,7020.52
12/11/2018,7031.832
12/12/2018,7098.313
12/13/2018,7070.336
12/14/2018,6910.664
12/17/2018,6753.734
12/18/2018,6783.91
12/19/2018,6636.828
12/20/2018,6528.406
12/21/2018,6332.996
12/24/2018,6192.918
12/25/2018,.
12/26/2018,6554.355
12/27/2018,6579.492
12/28/2018,6584.523
12/31/2018,6635.277
1/1/2019,.
1/2/2019,6665.938
1/3/2019,6463.504
1/4/2019,6738.855
1/7/2019,6823.469
1/8/2019,6897
1/9/2019,6957.078
1/10/2019,6986.066
1/11/2019,6971.477
1/14/2019,6905.914
1/15/2019,7023.836
1/16/2019,7034.691
1/17/2019,7084.465
1/18/2019,7157.227
1/21/2019,.
1/22/2019,7020.355
1/23/2019,7025.766
1/24/2019,7073.461
1/25/2019,7164.863
1/28/2019,7085.684
1/29/2019,7028.289
1/30/2019,7183.078
1/31/2019,7281.738
2/1/2019,7263.867
2/4/2019,7347.535
2/5/2019,7402.086
2/6/2019,7375.281
2/7/2019,7288.352
2/8/2019,7298.199
2/11/2019,7307.906
2/12/2019,7414.617
2/13/2019,7420.379
2/14/2019,7426.953
2/15/2019,7472.41
2/18/2019,.
2/19/2019,7486.766
2/20/2019,7489.07
2/21/2019,7459.707
2/22/2019,7527.543
2/25/2019,7554.461
2/26/2019,7549.297
2/27/2019,7554.508
2/28/2019,7532.531
3/1/2019,7595.352
3/4/2019,7577.566
3/5/2019,7576.359
3/6/2019,7505.918
3/7/2019,7421.465
3/8/2019,7408.141
3/11/2019,7558.063
3/12/2019,7591.031
3/13/2019,7643.406
3/14/2019,7630.91
3/15/2019,7688.527
3/18/2019,7714.477
3/19/2019,7723.945
3/20/2019,7728.969
3/21/2019,7838.961
3/22/2019,7642.668
3/25/2019,7637.543
3/26/2019,7691.523
3/27/2019,7643.379
3/28/2019,7669.164
3/29/2019,7729.32
4/1/2019,7828.91
4/2/2019,7848.688
4/3/2019,7895.551
4/4/2019,7891.785
4/5/2019,7938.691
4/8/2019,7953.883
4/9/2019,7909.277
4/10/2019,7964.242
4/11/2019,7947.359
4/12/2019,7984.164
4/15/2019,7976.012
4/16/2019,8000.227
4/17/2019,7996.078
4/18/2019,7998.063
4/19/2019,7998.063
4/22/2019,8015.266
4/23/2019,8120.82
4/24/2019,8102.016
4/25/2019,8118.684
4/26/2019,8146.398
4/29/2019,8161.852
4/30/2019,8095.387
5/1/2019,8049.641
5/2/2019,8036.773
5/3/2019,8163.996
5/6/2019,8123.289
5/7/2019,7963.758
5/8/2019,7943.32
5/9/2019,7910.586
5/10/2019,7916.941
5/13/2019,7647.023
5/14/2019,7734.492
5/15/2019,7822.148
5/16/2019,7898.047
5/17/2019,7816.285
5/20/2019,7702.375
5/21/2019,7785.723
5/22/2019,7750.844
5/23/2019,7628.285
5/24/2019,7637.008
5/27/2019,.
5/28/2019,7607.352
5/29/2019,7547.309
5/30/2019,7567.715
5/31/2019,7453.148
6/3/2019,7333.02
6/4/2019,7527.117
6/5/2019,7575.477
6/6/2019,7615.555
6/7/2019,7742.102
6/10/2019,7823.168
6/11/2019,7822.566
6/12/2019,7792.719
6/13/2019,7837.129
6/14/2019,7796.66
6/17/2019,7845.023
6/18/2019,7953.883
6/19/2019,7987.324
6/20/2019,8051.34
6/21/2019,8031.707
6/24/2019,8005.695
6/25/2019,7884.715
6/26/2019,7909.973
6/27/2019,7967.758
6/28/2019,8006.242
7/1/2019,8091.164
7/2/2019,8109.094
7/3/2019,8170.23
7/4/2019,.
7/5/2019,8161.789
7/8/2019,8098.383
7/9/2019,8141.727
7/10/2019,8202.531
7/11/2019,8196.043
7/12/2019,8244.145
7/15/2019,8258.184
7/16/2019,8222.797
7/17/2019,8185.207
7/18/2019,8207.242
7/19/2019,8146.488
7/22/2019,8204.137
7/23/2019,8251.402
7/24/2019,8321.5
7/25/2019,8238.539
7/26/2019,8330.211
7/29/2019,8293.328
7/30/2019,8273.613
7/31/2019,8175.418
8/1/2019,8111.121
8/2/2019,8004.074
8/5/2019,7726.039
8/6/2019,7833.266
8/7/2019,7862.824
8/8/2019,8039.156
8/9/2019,7959.141
8/12/2019,7863.41
8/13/2019,8016.359
8/14/2019,7773.938
8/15/2019,7766.617
8/16/2019,7895.992
8/19/2019,8002.813
8/20/2019,7948.559
8/21/2019,8020.207
8/22/2019,7991.387
8/23/2019,7751.766
8/26/2019,7853.734
8/27/2019,7826.945
8/28/2019,7856.883
8/29/2019,7973.395
8/30/2019,7962.883
9/2/2019,.
9/3/2019,7874.16
9/4/2019,7976.879
9/5/2019,8116.828
9/6/2019,8103.074
9/9/2019,8087.438
9/10/2019,8084.156
9/11/2019,8169.68
9/12/2019,8194.469
9/13/2019,8176.715
9/16/2019,8153.543
9/17/2019,8186.016
9/18/2019,8177.391
9/19/2019,8182.879
9/20/2019,8117.676
9/23/2019,8112.461
9/24/2019,7993.625
9/25/2019,8077.383
9/26/2019,8030.66
9/27/2019,7939.625
9/30/2019,7999.34
10/1/2019,7908.684
10/2/2019,7785.246
10/3/2019,7872.266
10/4/2019,7982.473
10/7/2019,7956.293
10/8/2019,7823.777
10/9/2019,7903.742
10/10/2019,7950.781
10/11/2019,8057.039
10/14/2019,8048.648
10/15/2019,8148.707
10/16/2019,8124.184
10/17/2019,8156.852
10/18/2019,8089.543
10/21/2019,8162.988
10/22/2019,8104.297
10/23/2019,8119.793
10/24/2019,8185.797
10/25/2019,8243.117
10/28/2019,8325.984
10/29/2019,8276.852
10/30/2019,8303.977
10/31/2019,8292.359
11/1/2019,8386.398
11/4/2019,8433.199
11/5/2019,8434.68
11/6/2019,8410.629
11/7/2019,8434.516
11/8/2019,8475.313
11/11/2019,8464.277
11/12/2019,8486.09
11/13/2019,8482.102
11/14/2019,8479.016
11/15/2019,8540.828
11/18/2019,8549.938
11/19/2019,8570.656
11/20/2019,8526.73
11/21/2019,8506.211
11/22/2019,8519.887
11/25/2019,8632.488
11/26/2019,8647.934
11/27/2019,8705.176
11/28/2019,.
11/29/2019,8665.473
12/2/2019,8567.988
12/3/2019,8520.645
12/4/2019,8566.672
12/5/2019,8570.703
12/6/2019,8656.527
12/9/2019,8621.828
12/10/2019,8616.184
12/11/2019,8654.051
12/12/2019,8717.316
12/13/2019,8734.879
12/16/2019,8814.227
12/17/2019,8823.355
12/18/2019,8827.734
12/19/2019,8887.219
12/20/2019,8924.957
12/23/2019,8945.648
12/24/2019,8952.883
12/25/2019,.
12/26/2019,9022.391
12/27/2019,9006.617
12/30/2019,8945.992
12/31/2019,8972.605
1/1/2020,.
1/2/2020,9092.188
1/3/2020,9020.77
1/6/2020,9071.465
1/7/2020,9068.582
1/8/2020,9129.242
1/9/2020,9203.426
1/10/2020,9178.859
1/13/2020,9273.934
1/14/2020,9251.328
1/15/2020,9258.695
1/16/2020,9357.133
1/17/2020,9388.945
1/20/2020,.
1/21/2020,9370.809
1/22/2020,9383.77
1/23/2020,9402.477
1/24/2020,9314.91
1/27/2020,9139.309
1/28/2020,9269.68
1/29/2020,9275.164
1/30/2020,9298.934
1/31/2020,9150.938
2/3/2020,9273.402
2/4/2020,9467.973
2/5/2020,9508.684
2/6/2020,9572.152
2/7/2020,9520.512
2/10/2020,9628.391
2/11/2020,9638.941
2/12/2020,9725.961
2/13/2020,9711.969
2/14/2020,9731.176
2/17/2020,.
2/18/2020,9732.742
2/19/2020,9817.18
2/20/2020,9750.965
2/21/2020,9576.59
2/24/2020,9221.281
2/25/2020,8965.613
2/26/2020,8980.773
2/27/2020,8566.48
2/28/2020,8567.367
3/2/2020,8952.164
3/3/2020,8684.09
3/4/2020,9018.09
3/5/2020,8738.594
3/6/2020,8575.617
3/9/2020,7950.676
3/10/2020,8344.254
3/11/2020,7952.051
3/12/2020,7201.801
3/13/2020,7874.875
3/16/2020,6904.594
3/17/2020,7334.781
3/18/2020,6989.844
3/19/2020,7150.578
3/20/2020,6879.516
3/23/2020,6860.672
3/24/2020,7417.855
3/25/2020,7384.297
3/26/2020,7797.535
3/27/2020,7502.379
3/30/2020,7774.152
3/31/2020,7700.098
4/1/2020,7360.582
4/2/2020,7487.313
4/3/2020,7373.082
4/6/2020,7913.238
4/7/2020,7887.258
4/8/2020,8090.902
4/9/2020,8153.574
4/10/2020,.
4/13/2020,8192.426
4/14/2020,8515.742
4/15/2020,8393.176
4/16/2020,8532.363
4/17/2020,8650.141
4/20/2020,8560.727
4/21/2020,8263.23
4/22/2020,8495.379
4/23/2020,8494.754
4/24/2020,8634.52
4/27/2020,8730.164
4/28/2020,8607.73
4/29/2020,8914.711
4/30/2020,8889.551
5/1/2020,8604.949
5/4/2020,8710.715
5/5/2020,8809.121
5/6/2020,8854.387
5/7/2020,8979.66
5/8/2020,9121.32
5/11/2020,9192.344
5/12/2020,9002.551
5/13/2020,8863.168
5/14/2020,8943.723
5/15/2020,9014.559
5/18/2020,9234.828
5/19/2020,9185.105
5/20/2020,9375.777
5/21/2020,9284.883
5/22/2020,9324.586
5/25/2020,.
5/26/2020,9340.219
5/27/2020,9412.359
5/28/2020,9368.988
5/29/2020,9489.871
6/1/2020,9552.051
6/2/2020,9608.375
6/3/2020,9682.91
6/4/2020,9615.813
6/5/2020,9814.082
6/8/2020,9924.746
6/9/2020,9953.754
6/10/2020,10020.348
6/11/2020,9492.727
6/12/2020,9588.809
6/15/2020,9726.023
6/16/2020,9895.867
6/17/2020,9910.531
6/18/2020,9943.051
6/19/2020,9946.125
6/22/2020,10056.477
6/23/2020,10131.367
6/24/2020,9909.164
6/25/2020,10017.004
6/26/2020,9757.219
6/29/2020,9874.152
6/30/2020,10058.766
7/1/2020,10154.629
7/2/2020,10207.629
7/3/2020,.
7/6/2020,10433.648
7/7/2020,10343.887
7/8/2020,10492.5
7/9/2020,10547.75
7/10/2020,10617.445
7/13/2020,10390.844
7/14/2020,10488.578
7/15/2020,10550.492
7/16/2020,10473.828
7/17/2020,10503.191
7/20/2020,10767.094
7/21/2020,10680.363
7/22/2020,10706.129
