Date,Stock_Market_Indexes
7/23/2020,10461.418
7/24/2020,10363.176
7/27/2020,10536.266
7/28/2020,10402.09
7/29/2020,10542.941
7/30/2020,10587.813
7/31/2020,10745.273
8/3/2020,10902.797
8/4/2020,10941.164
8/5/2020,10998.398
8/6/2020,11108.07
8/7/2020,11010.984
8/10/2020,10968.355
8/11/2020,10782.824
8/12/2020,11012.238
8/13/2020,11042.504
8/14/2020,11019.301
8/17/2020,11129.727
8/18/2020,11210.844
8/19/2020,11146.461
8/20/2020,11264.953
8/21/2020,11311.801
8/24/2020,11379.719
8/25/2020,11466.473
8/26/2020,11665.059
8/27/2020,11625.336
8/28/2020,11695.633
8/31/2020,11775.457
9/1/2020,11939.668
9/2/2020,12056.441
9/3/2020,11458.102
9/4/2020,11313.133
9/7/2020,.
9/8/2020,10847.691
9/9/2020,11141.563
9/10/2020,10919.594
9/11/2020,10853.547
9/14/2020,11056.652
9/15/2020,11190.324
9/16/2020,11050.469
9/17/2020,10910.277
9/18/2020,10793.281
9/21/2020,10778.797
9/22/2020,10963.637
9/23/2020,10632.984
9/24/2020,10672.266
9/25/2020,10913.563
9/28/2020,11117.523
9/29/2020,11085.25
9/30/2020,11167.508
10/1/2020,11326.508
10/2/2020,11075.016
10/5/2020,11332.484
10/6/2020,11154.605
10/7/2020,11364.598
10/8/2020,11420.98
10/9/2020,11579.945
10/12/2020,11876.258
10/13/2020,11863.895
10/14/2020,11768.73
10/15/2020,11713.871
10/16/2020,11671.555
10/19/2020,11478.883
10/20/2020,11516.496
10/21/2020,11484.695
10/22/2020,11506.004
10/23/2020,11548.281
10/26/2020,11358.938
10/27/2020,11431.352
10/28/2020,11004.867
10/29/2020,11185.594
10/30/2020,10911.59
11/2/2020,10957.613
11/3/2020,11160.574
11/4/2020,11590.781
11/5/2020,11890.926
11/6/2020,11895.23
11/9/2020,11713.781
11/10/2020,11553.855
11/11/2020,11786.43
11/12/2020,11709.59
11/13/2020,11829.28613
11/16/2020,11924.13
11/17/2020,11899.34
11/18/2020,11801.6
11/19/2020,11904.71
11/20/2020,11854.97
11/23/2020,11880.63
11/24/2020,12036.79
11/25/2020,12094.4
11/26/2020,.
11/27/2020,12205.85
11/30/2020,12198.74
12/1/2020,12355.11
12/2/2020,12349.37
12/3/2020,12377.18
12/4/2020,12464.23
12/7/2020,12519.95
12/8/2020,12582.77
12/9/2020,12338.95
12/10/2020,12405.81
12/11/2020,12377.87
12/14/2020,12440.04
12/15/2020,12595.06
12/16/2020,12658.19
12/17/2020,12764.75
12/18/2020,12755.64
12/21/2020,12742.52
12/22/2020,12807.92
12/23/2020,12771.11
12/24/2020,12804.73
12/25/2020,.
12/28/2020,12899.42
12/29/2020,12850.22
12/30/2020,12870
12/31/2020,12888.28
1/1/2021,.
1/4/2021,12698.45
1/5/2021,12818.96
1/6/2021,12740.79
1/7/2021,13067.48
1/8/2021,13201.98
1/11/2021,13036.43
1/12/2021,13072.43
1/13/2021,13128.95
1/14/2021,13112.64
1/15/2021,12998.5
1/18/2021,.
1/19/2021,13197.18
1/20/2021,13457.25
1/21/2021,13530.91
1/22/2021,13543.06
1/25/2021,13635.99
1/26/2021,13626.06
1/27/2021,13270.6
1/28/2021,13337.16
1/29/2021,13070.69
2/1/2021,13403.39
2/2/2021,13612.78
2/3/2021,13610.54
2/4/2021,13777.74
2/5/2021,13856.3
2/8/2021,13987.64
2/9/2021,14007.7
2/10/2021,13972.53
2/11/2021,14025.77
2/12/2021,14095.47
2/15/2021,.
2/16/2021,14047.5
2/17/2021,13965.49
2/18/2021,13865.36
2/19/2021,13874.46
2/22/2021,13533.05
2/23/2021,13465.2
2/24/2021,13597.97
2/25/2021,13119.43
2/26/2021,13192.35
3/1/2021,13588.83
3/2/2021,13358.79
3/3/2021,12997.75
3/4/2021,12723.47
3/5/2021,12920.15
3/8/2021,12609.16
3/9/2021,13073.82
3/10/2021,13068.83
3/11/2021,13398.67
3/12/2021,13319.86
3/15/2021,13459.71
3/16/2021,13471.57
3/17/2021,13525.2
3/18/2021,13116.17
3/19/2021,13215.24
3/22/2021,13377.54
3/23/2021,13227.7
3/24/2021,12961.89
3/25/2021,12977.68
3/26/2021,13138.72
3/29/2021,13059.65
3/30/2021,13045.39
3/31/2021,13246.87
4/1/2021,13480.11
4/2/2021,.
4/5/2021,13705.59
4/6/2021,13698.38
4/7/2021,13688.84
4/8/2021,13829.31
4/9/2021,13900.19
4/12/2021,13850
4/13/2021,13996.1
4/14/2021,13857.84
4/15/2021,14038.76
4/16/2021,14052.34
4/19/2021,13914.77
4/20/2021,13786.27
4/21/2021,13950.22
4/22/2021,13818.41
4/23/2021,14016.81
4/26/2021,14138.78
4/27/2021,14090.22
4/28/2021,14051.03
4/29/2021,14082.55
4/30/2021,13962.68
5/3/2021,13895.12
5/4/2021,13633.5
5/5/2021,13582.42
5/6/2021,13632.84
5/7/2021,13752.24
5/10/2021,13401.86
5/11/2021,13389.43
5/12/2021,13031.68
5/13/2021,13124.99
5/14/2021,13379.05
5/17/2021,13379.05
5/18/2021,13303.64
5/19/2021,13299.74
5/20/2021,13535.74
5/21/2021,13470.99
5/24/2021,13661.17
5/25/2021,13657.17
5/26/2021,13738
5/27/2021,13736.28
5/28/2021,13748.74
5/31/2021,.
6/1/2021,13736.48
6/2/2021,13756.33
6/3/2021,13614.51
6/4/2021,13814.49
6/7/2021,13881.72
6/8/2021,13924.91
6/9/2021,13911.75
6/10/2021,14020.33
6/11/2021,14069.42
6/14/2021,14174.14
6/15/2021,14072.86
6/16/2021,14039.68
6/17/2021,14161.35
6/18/2021,14030.38
6/21/2021,14141.48
6/22/2021,14253.27
6/23/2021,14271.73
6/24/2021,14369.71
6/25/2021,14360.39
6/28/2021,14500.51
6/29/2021,14528.33
6/30/2021,14503.95
7/1/2021,14522.38
7/2/2021,14639.33
7/5/2021,.
7/6/2021,14663.64
7/7/2021,14665.06
7/8/2021,14559.78
7/9/2021,14701.92
7/12/2021,14733.24
7/13/2021,14677.65
7/14/2021,14644.95
7/15/2021,14543.13
7/16/2021,14427.24
7/19/2021,14274.98
7/20/2021,14498.88
7/21/2021,14631.95
7/22/2021,14684.6
7/23/2021,14836.99
7/26/2021,14840.71
7/27/2021,14660.58
7/28/2021,14762.58
7/29/2021,14778.26
7/30/2021,14672.68
8/2/2021,14681.07
8/3/2021,14761.29
8/4/2021,14780.53
8/5/2021,14895.12
8/6/2021,14835.76
8/9/2021,14860.18
8/10/2021,14788.09
8/11/2021,14765.14
8/12/2021,14816.26
8/13/2021,14822.9
8/16/2021,14793.76
8/17/2021,14656.18
8/18/2021,14525.91
8/19/2021,14541.79
8/20/2021,14714.66
8/23/2021,14942.65
8/24/2021,15019.8
8/25/2021,15041.86
8/26/2021,14945.81
8/27/2021,15129.5
8/30/2021,15265.89
8/31/2021,15259.24
9/1/2021,15309.38
9/2/2021,15331.18
9/3/2021,15363.52
9/6/2021,.
9/7/2021,15374.33
9/8/2021,15286.64
9/9/2021,15248.25
9/10/2021,15115.49
9/13/2021,15105.58
9/14/2021,15037.76
9/15/2021,15161.53
9/16/2021,15181.92
9/17/2021,15043.97
9/20/2021,14713.9
9/21/2021,14746.4
9/22/2021,14896.85
9/23/2021,15052.24
9/24/2021,15047.7
9/27/2021,14969.97
9/28/2021,14546.68
9/29/2021,14512.44
9/30/2021,14448.58
10/1/2021,14566.7
10/4/2021,14255.48
10/5/2021,14433.83
10/6/2021,14501.91
10/7/2021,14654.02
10/8/2021,14579.54
10/11/2021,14486.2
10/12/2021,14465.92
10/13/2021,14571.64
10/14/2021,14823.43
10/15/2021,14897.34
10/18/2021,15021.81
10/19/2021,15129.09
10/20/2021,15121.68
10/21/2021,15215.7
10/22/2021,15090.2
10/25/2021,15226.71
10/26/2021,15235.71
10/27/2021,15235.84
10/28/2021,15448.12
10/29/2021,15498.39
11/1/2021,15595.92
11/2/2021,15649.6
11/3/2021,15811.58
11/4/2021,15940.31
11/5/2021,15971.59
11/8/2021,15982.36
11/9/2021,15886.54
11/10/2021,15622.71
11/11/2021,15704.28
11/12/2021,15860.96
11/15/2021,15853.85
11/16/2021,15973.86
11/17/2021,15921.57
11/18/2021,15993.71
11/19/2021,16057.44
11/22/2021,15854.76
11/23/2021,15775.14
11/24/2021,15845.23
11/25/2021,.
11/26/2021,15491.66
11/29/2021,15782.83
11/30/2021,15537.69
12/1/2021,15254.05
12/2/2021,15381.32
12/3/2021,15085.47
12/6/2021,15225.15
12/7/2021,15686.92
12/8/2021,15786.99
12/9/2021,15517.37
12/10/2021,15630.6
12/13/2021,15413.28
12/14/2021,15237.64
12/15/2021,15565.58
12/16/2021,15180.43
12/17/2021,15169.68
12/20/2021,14980.94
12/21/2021,15341.09
12/22/2021,15521.89
12/23/2021,15653.37
12/24/2021,.
12/27/2021,15871.26
12/28/2021,15781.72
12/29/2021,15766.22
12/30/2021,15741.56
12/31/2021,15644.97
1/3/2022,15832.8
1/4/2022,15622.72
1/5/2022,15100.17
1/6/2022,15080.86
1/7/2022,14935.9
1/10/2022,14942.83
1/11/2022,15153.45
1/12/2022,15188.39
1/13/2022,14806.81
1/14/2022,14893.75
1/17/2022,.
1/18/2022,14506.9
1/19/2022,14340.26
1/20/2022,14154.02
1/21/2022,13768.92
1/24/2022,13855.13
1/25/2022,13539.29
1/26/2022,13542.12
1/27/2022,13352.78
1/28/2022,13770.57
1/31/2022,14239.88
2/1/2022,14346
2/2/2022,14417.55
2/3/2022,13878.82
2/4/2022,14098.01
2/7/2022,14015.67
2/8/2022,14194.45
2/9/2022,14490.37
2/10/2022,14185.64
2/11/2022,13791.15
2/14/2022,13790.92
2/15/2022,14139.76
2/16/2022,14124.09
2/17/2022,13716.72
2/18/2022,13548.07
2/21/2022,.
2/22/2022,13381.52
2/23/2022,13037.49
2/24/2022,13473.58
2/25/2022,13694.62
2/28/2022,13751.4
3/1/2022,13532.46
3/2/2022,13752.02
3/3/2022,13537.94
3/4/2022,13313.44
3/7/2022,12830.96
3/8/2022,12795.55
3/9/2022,13255.55
3/10/2022,13129.96
3/11/2022,12843.81
3/14/2022,12581.22
3/15/2022,12948.62
3/16/2022,13436.55
3/17/2022,13614.78
3/18/2022,13893.84
3/21/2022,13838.46
3/22/2022,14108.82
3/23/2022,13922.6
3/24/2022,14191.84
3/25/2022,14169.3
3/28/2022,14354.9
3/29/2022,14619.64
3/30/2022,14442.27
3/31/2022,14220.52
4/1/2022,14261.5
4/4/2022,14532.55
4/5/2022,14204.17
4/6/2022,13888.82
4/7/2022,13897.3
4/8/2022,13711
4/11/2022,13411.96
4/12/2022,13371.57
4/13/2022,13643.59
4/14/2022,13351.08
4/15/2022,.
4/18/2022,13332.36
4/19/2022,13619.66
4/20/2022,13453.07
4/21/2022,13174.65
4/22/2022,12839.29
4/25/2022,13004.85
4/26/2022,12490.74
4/27/2022,12488.93
4/28/2022,12871.53
4/29/2022,12334.64
5/2/2022,12536.02
5/3/2022,12563.76
5/4/2022,12964.86
5/5/2022,12317.69
5/6/2022,12144.66
5/9/2022,11623.25
5/10/2022,11737.67
5/11/2022,11364.24
5/12/2022,11370.96
5/13/2022,11805
5/16/2022,11662.79
5/17/2022,11984.52
5/18/2022,11418.15
5/19/2022,11388.5
5/20/2022,11354.62
5/23/2022,11535.27
5/24/2022,11264.45
5/25/2022,11434.74
5/26/2022,11740.65
5/27/2022,12131.13
5/30/2022,.
5/31/2022,12081.39
6/1/2022,11994.46
6/2/2022,12316.9
6/3/2022,12012.73
6/6/2022,12061.37
6/7/2022,12175.23
6/8/2022,12086.27
6/9/2022,11754.23
6/10/2022,11340.02
6/13/2022,10809.23
6/14/2022,10828.35
6/15/2022,11099.15
6/16/2022,10646.1
6/17/2022,10798.35
6/20/2022,.
6/21/2022,11069.3
6/22/2022,11053.08
6/23/2022,11232.19
6/24/2022,11607.62
6/27/2022,11524.55
6/28/2022,11181.54
6/29/2022,11177.89
6/30/2022,11028.74
7/1/2022,11127.85
7/4/2022,.
7/5/2022,11322.24
7/6/2022,11361.85
7/7/2022,11621.35
7/8/2022,11635.31
7/11/2022,11372.6
7/12/2022,11264.73
7/13/2022,11247.58
7/14/2022,11251.19
7/15/2022,11452.42
7/18/2022,11360.05
7/19/2022,11713.15
7/20/2022,11897.65
7/21/2022,12059.61
7/22/2022,11834.11
7/25/2022,11782.67
7/26/2022,11562.57
7/27/2022,12032.42
7/28/2022,12162.59
7/29/2022,12390.69
8/1/2022,12368.98
8/2/2022,12348.76
8/3/2022,12668.16
8/4/2022,12720.58
8/5/2022,12657.55
8/8/2022,12644.46
8/9/2022,12493.93
8/10/2022,12854.8
8/11/2022,12779.91
8/12/2022,13047.19
8/15/2022,13128.05
8/16/2022,13102.55
8/17/2022,12938.12
8/18/2022,12965.34
8/19/2022,12705.22
8/22/2022,12381.57
8/23/2022,12381.3
8/24/2022,12431.53
8/25/2022,12639.27
8/26/2022,12141.71
8/29/2022,12017.67
8/30/2022,11883.14
8/31/2022,11816.2
9/1/2022,11785.13
9/2/2022,11630.86
9/5/2022,.
9/6/2022,11544.91
9/7/2022,11791.9
9/8/2022,11862.13
9/9/2022,12112.31
9/12/2022,12266.41
9/13/2022,11633.57
9/14/2022,11719.68
9/15/2022,11552.36
9/16/2022,11448.4
9/19/2022,11535.02
9/20/2022,11425.05
9/21/2022,11220.19
9/22/2022,11066.81
9/23/2022,10867.93
9/26/2022,10802.92
9/27/2022,10829.5
9/28/2022,11051.64
9/29/2022,10737.51
9/30/2022,10575.62
10/3/2022,10815.43
10/4/2022,11176.41
10/5/2022,11148.64
10/6/2022,11073.31
10/7/2022,10652.4
10/10/2022,10542.1
10/11/2022,10426.19
10/12/2022,10417.1
10/13/2022,10649.15
10/14/2022,10321.39
10/17/2022,10675.8
10/18/2022,10772.4
10/19/2022,10680.51
10/20/2022,10614.84
10/21/2022,10859.72
10/24/2022,10952.61
10/25/2022,11199.12
10/26/2022,10970.99
10/27/2022,10792.67
10/28/2022,11102.45
10/31/2022,10988.15
11/1/2022,10890.85
11/2/2022,10524.8
11/3/2022,10342.94
11/4/2022,10475.25
11/7/2022,10564.52
11/8/2022,10616.2
11/9/2022,10353.17
11/10/2022,11114.15
11/11/2022,11323.33
11/14/2022,11196.22
11/15/2022,11358.41
11/16/2022,11183.66
11/17/2022,11144.96
11/18/2022,11146.06
11/21/2022,11024.51
11/22/2022,11174.41
11/23/2022,11285.32
11/24/2022,.
11/25/2022,11226.36
11/28/2022,11049.5
11/29/2022,10983.78
11/30/2022,11468
12/1/2022,11482.45
12/2/2022,11461.5
12/5/2022,11239.94
12/6/2022,11014.89
12/7/2022,10958.55
12/8/2022,11082
12/9/2022,11004.62
12/12/2022,11143.74
12/13/2022,11256.81
12/14/2022,11170.89
12/15/2022,10810.53
12/16/2022,10705.41
12/19/2022,10546.03
12/20/2022,10547.11
12/21/2022,10709.37
12/22/2022,10476.12
12/23/2022,10497.86
12/26/2022,.
12/27/2022,10353.23
12/28/2022,10213.29
12/29/2022,10478.09
12/30/2022,10466.48
1/2/2023,.
1/3/2023,10386.98
1/4/2023,10458.76
1/5/2023,10305.24
1/6/2023,10569.29
1/9/2023,10635.65
1/10/2023,10742.63
1/11/2023,10931.67
1/12/2023,11001.1
1/13/2023,11079.16
1/16/2023,.
1/17/2023,11095.11
1/18/2023,10957.01
